Date,Price,Open,High,Low,Vol.,Change %,Date_m
08-12-17,1385.00,1231.00,1564.90,1125.20,119.26K,12.69,43077
09-12-17,1364.80,1385.00,1475.60,1300.10,49.34K,-1.46,43078
10-12-17,1288.30,1364.80,1369.10,1180.20,48.11K,-5.61,43079
11-12-17,1408.40,1288.30,1435.50,1255.20,40.71K,9.32,43080
12-12-17,1581.80,1408.40,1626.00,1250.00,64.27K,12.31,43081
13-12-17,1581.10,1581.80,1695.30,1447.60,83.18K,-0.04,43082
14-12-17,1936.70,1581.10,2100.00,1565.00,168.20K,22.49,43083
15-12-17,1799.60,1936.70,1944.90,1623.30,76.06K,-7.08,43084
16-12-17,1774.80,1799.60,1868.00,1730.10,41.56K,-1.38,43085
17-12-17,1829.20,1774.80,1910.00,1766.70,38.12K,3.07,43086
18-12-17,2149.10,1829.20,2318.70,1747.60,146.20K,17.49,43087
19-12-17,2669.50,2149.10,2849.00,2065.60,198.17K,24.21,43088
20-12-17,3708.90,2669.50,4104.30,2663.00,333.71K,38.94,43089
21-12-17,3067.50,3708.90,3708.90,2823.20,127.33K,-17.29,43090
22-12-17,2432.90,3067.50,3165.70,1567.00,207.68K,-20.69,43091
23-12-17,2898.00,2432.90,3186.00,2370.50,83.96K,19.12,43092
24-12-17,2772.20,2898.00,2911.40,2326.80,97.93K,-4.34,43093
25-12-17,2709.40,2772.20,2863.60,2553.30,35.97K,-2.27,43094
26-12-17,2915.00,2709.40,2924.00,2684.00,32.66K,7.59,43095
27-12-17,2706.20,2915.00,2919.90,2562.00,28.01K,-7.16,43096
28-12-17,2477.80,2706.20,2727.80,2250.10,38.12K,-8.44,43097
29-12-17,2612.50,2477.80,2888.00,2282.00,52.81K,5.44,43098
30-12-17,2178.30,2612.50,2626.00,2050.00,45.48K,-16.62,43099
31-12-17,2359.30,2178.30,2484.20,2130.10,27.37K,8.31,43100
01-01-18,2306.10,2359.30,2412.60,2241.30,14.71K,-2.25,43101
02-01-18,2552.30,2306.10,2745.50,2291.90,38.50K,10.68,43102
03-01-18,2557.70,2552.30,2775.00,2501.00,27.87K,0.21,43103
04-01-18,2349.70,2557.70,2563.50,2294.80,39.16K,-8.13,43104
05-01-18,2382.20,2349.70,2530.90,2289.50,42.24K,1.38,43105
06-01-18,2529.40,2382.20,2648.50,2315.10,37.99K,6.18,43106
07-01-18,2526.40,2529.40,2758.90,2480.00,41.70K,-0.12,43107
08-01-18,2400.00,2526.20,2575.10,2193.80,44.07K,-5,43108
09-01-18,2370.80,2400.00,2486.60,2309.90,29.47K,-1.22,43109
10-01-18,2851.00,2370.30,2934.40,2270.00,87.64K,20.25,43110
11-01-18,2433.10,2851.00,2958.50,2328.80,77.61K,-14.66,43111
12-01-18,2586.40,2433.50,2624.20,2362.00,32.09K,6.3,43112
13-01-18,2660.50,2586.40,2879.60,2549.90,39.09K,2.86,43113
14-01-18,2520.20,2660.50,2726.90,2413.00,24.94K,-5.27,43114
15-01-18,2383.70,2518.60,2554.00,2333.20,27.31K,-5.42,43115
16-01-18,1724.20,2383.70,2400.10,1512.10,114.83K,-27.67,43116
17-01-18,1739.70,1712.90,1852.00,1345.60,74930,0.9,43117
18-01-18,1685.80,1739.70,1873.50,1656.00,35240,-3.1,43118
19-01-18,1749.00,1685.10,1847.60,1668.90,22770,3.75,43119
20-01-18,2010.10,1748.60,2109.90,1742.10,35430,14.93,43120
21-01-18,1769.00,2013.70,2019.70,1700.00,30940,-11.99,43121
22-01-18,1604.70,1769.50,1806.60,1504.40,31040,-9.29,43122
23-01-18,1613.70,1604.70,1693.90,1480.10,27290,0.56,43123
24-01-18,1654.00,1611.10,1680.00,1552.60,17940,2.5,43124
25-01-18,1627.30,1651.70,1700.00,1600.10,12930,-1.61,43125
26-01-18,1595.00,1627.30,1675.00,1479.10,23720,-1.98,43126
27-01-18,1636.40,1595.00,1670.70,1555.20,12820,2.6,43127
28-01-18,1760.50,1637.00,1787.70,1635.60,18660,7.58,43128
29-01-18,1650.10,1760.50,1784.60,1626.70,11320,-6.27,43129
30-01-18,1472.70,1650.10,1657.40,1455.40,23440,-10.75,43130
31-01-18,1498.40,1471.40,1525.00,1402.00,18090,1.75,43131
01-02-18,1277.20,1498.40,1511.00,1230.00,33790,-14.76,43132
02-02-18,1197.10,1277.20,1280.40,993.00,58110,-6.27,43133
03-02-18,1276.60,1197.10,1318.80,1067.30,26310,6.64,43134
04-02-18,1158.40,1276.60,1290.00,1090.90,30470,-9.26,43135
05-02-18,884.80,1158.40,1174.70,830.00,52920,-23.62,43136
06-02-18,964.48,884.80,978.00,760.00,81730,9.01,43137
07-02-18,952.99,964.48,1035.00,892.19,32020,-1.19,43138
08-02-18,1282.80,954.90,1357.20,946.38,87040,34.61,43139
09-02-18,1299.10,1279.80,1340.00,1189.90,35730,1.27,43140
10-02-18,1240.10,1299.10,1385.00,1198.00,32040,-4.54,43141
11-02-18,1210.10,1240.20,1300.00,1190.00,26820,-2.42,43142
12-02-18,1279.70,1211.30,1297.30,1207.80,12780,5.75,43143
13-02-18,1218.00,1283.40,1285.20,1200.00,15470,-4.82,43144
14-02-18,1355.00,1218.10,1376.20,1218.00,27780,11.25,43145
15-02-18,1356.70,1350.40,1390.00,1306.00,29210,0.13,43146
16-02-18,1530.00,1356.70,1545.00,1352.40,45580,12.77,43147
17-02-18,1539.30,1530.00,1553.70,1501.00,19770,0.61,43148
18-02-18,1450.90,1539.30,1630.00,1392.80,39200,-5.74,43149
19-02-18,1517.40,1450.90,1543.50,1450.00,17810,4.58,43150
20-02-18,1390.50,1518.80,1555.90,1375.00,25240,-8.36,43151
21-02-18,1282.90,1390.30,1403.10,1262.30,35940,-7.74,43152
