Date,Price,Open,High,Low,Vol.,Change %,Date_m
04-Jan-16,17148.94,17405.48,17405.48,16957.63,148000000,-1.58,42373
05-Jan-16,17158.66,17147.50,17195.84,17038.61,105700000,0.06,42374
06-Jan-16,16906.51,17154.83,17154.83,16817.62,120200000,-1.47,42375
07-Jan-16,16514.10,16888.36,16888.36,16463.63,176200000,-2.32,42376
08-Jan-16,16346.45,16519.17,16651.89,16314.57,141800000,-1.02,42377
11-Jan-16,16398.57,16358.71,16461.85,16232.03,127800000,0.32,42380
12-Jan-16,16516.22,16419.11,16591.35,16322.07,117400000,0.72,42381
13-Jan-16,16151.41,16526.63,16593.51,16123.20,153500000,-2.21,42382
14-Jan-16,16379.05,16159.01,16482.05,16075.12,158800000,1.41,42383
15-Jan-16,15988.08,16354.33,16354.33,15842.11,239200000,-2.39,42384
19-Jan-16,16016.02,16009.45,16171.96,15900.25,144300000,0.17,42388
20-Jan-16,15766.74,15989.45,15989.45,15450.56,191800000,-1.56,42389
21-Jan-16,15882.68,15768.87,16038.59,15704.66,145100000,0.74,42390
22-Jan-16,16093.51,15921.10,16136.79,15921.10,145800000,1.33,42391
25-Jan-16,15885.22,16086.46,16086.46,15880.15,123200000,-1.29,42394
26-Jan-16,16167.23,15893.16,16185.79,15893.16,118200000,1.78,42395
27-Jan-16,15944.46,16168.74,16235.03,15878.30,138300000,-1.38,42396
28-Jan-16,16069.64,15960.28,16102.14,15863.72,130100000,0.79,42397
29-Jan-16,16466.30,16090.26,16466.30,16090.26,217900000,2.47,42398
01-Feb-16,16449.18,16453.63,16510.98,16299.47,114400000,-0.1,42401
02-Feb-16,16153.54,16420.21,16420.21,16108.44,126200000,-1.8,42402
03-Feb-16,16336.66,16186.20,16381.69,15960.45,141800000,1.13,42403
04-Feb-16,16416.58,16329.67,16485.84,16266.16,131400000,0.49,42404
05-Feb-16,16204.97,16417.95,16423.63,16129.81,139000000,-1.29,42405
08-Feb-16,16027.05,16147.51,16147.51,15803.55,165800000,-1.1,42408
09-Feb-16,16014.38,16005.41,16136.62,15881.11,127700000,-0.08,42409
10-Feb-16,15914.74,16035.61,16201.89,15899.91,122200000,-0.62,42410
11-Feb-16,15660.18,15897.82,15897.82,15503.01,172000000,-1.6,42411
12-Feb-16,15973.84,15691.62,15974.04,15691.62,132500000,2,42412
16-Feb-16,16196.41,16012.39,16196.41,16012.39,142000000,1.39,42416
17-Feb-16,16453.83,16217.98,16486.12,16217.98,124000000,1.59,42417
18-Feb-16,16413.43,16483.76,16511.84,16390.43,104900000,-0.25,42418
19-Feb-16,16391.99,16410.96,16410.96,16278.00,134300000,-0.13,42419
22-Feb-16,16620.66,16417.13,16664.24,16417.13,102200000,1.4,42422
23-Feb-16,16431.78,16610.39,16610.39,16403.53,98170000,-1.14,42423
24-Feb-16,16484.99,16418.84,16507.39,16165.86,93620000,0.32,42424
25-Feb-16,16697.29,16504.38,16697.98,16458.42,94120000,1.29,42425
26-Feb-16,16639.97,16712.70,16795.98,16623.91,98480000,-0.34,42426
29-Feb-16,16516.50,16634.15,16726.12,16510.40,126200000,-0.74,42429
01-Mar-16,16865.08,16545.67,16865.56,16545.67,105000000,2.11,42430
02-Mar-16,16899.32,16851.17,16900.17,16766.32,104400000,0.2,42431
03-Mar-16,16943.90,16896.17,16944.31,16820.73,91110000,0.26,42432
04-Mar-16,17006.77,16945.00,17062.38,16898.84,106900000,0.37,42433
07-Mar-16,17073.95,16991.29,17099.25,16940.48,100200000,0.4,42436
08-Mar-16,16964.10,17050.67,17072.79,16921.51,108300000,-0.64,42437
09-Mar-16,17000.36,16969.17,17048.50,16947.94,116600000,0.21,42438
10-Mar-16,16995.13,17006.05,17130.11,16821.86,117500000,-0.03,42439
11-Mar-16,17213.31,17014.99,17220.09,17014.99,123400000,1.28,42440
14-Mar-16,17229.13,17207.49,17275.07,17161.16,96350000,0.09,42443
15-Mar-16,17251.53,17217.15,17251.70,17120.35,92830000,0.13,42444
16-Mar-16,17325.76,17249.34,17379.18,17204.07,118700000,0.43,42445
17-Mar-16,17481.49,17321.38,17529.01,17297.65,117900000,0.9,42446
18-Mar-16,17602.30,17481.49,17620.58,17481.49,321200000,0.69,42447
21-Mar-16,17623.87,17589.70,17644.97,17551.28,84410000,0.12,42450
22-Mar-16,17582.57,17602.71,17648.94,17540.42,95450000,-0.23,42451
23-Mar-16,17502.59,17588.81,17588.81,17486.27,84240000,-0.45,42452
24-Mar-16,17515.73,17485.33,17517.14,17399.01,84100000,0.08,42453
28-Mar-16,17535.39,17526.08,17583.81,17493.03,70460000,0.11,42457
29-Mar-16,17633.11,17512.58,17642.81,17434.27,86160000,0.56,42458
30-Mar-16,17716.66,17652.36,17790.11,17652.36,79330000,0.47,42459
31-Mar-16,17685.09,17716.05,17755.70,17669.72,102600000,-0.18,42460
01-Apr-16,17792.75,17661.74,17811.48,17568.02,104800000,0.61,42461
04-Apr-16,17737.00,17799.39,17806.38,17710.67,85230000,-0.31,42464
05-Apr-16,17603.32,17718.03,17718.03,17579.56,115200000,-0.75,42465
06-Apr-16,17716.05,17605.45,17723.55,17542.54,99410000,0.64,42466
07-Apr-16,17541.96,17687.28,17687.28,17484.23,90120000,-0.98,42467
08-Apr-16,17576.96,17555.39,17694.51,17528.16,79990000,0.2,42468
11-Apr-16,17556.41,17586.48,17731.63,17555.90,107100000,-0.12,42471
12-Apr-16,17721.25,17571.34,17744.43,17553.57,81020000,0.94,42472
13-Apr-16,17908.28,17741.66,17918.35,17741.66,91710000,1.06,42473
14-Apr-16,17926.43,17912.25,17962.14,17885.44,84510000,0.1,42474
15-Apr-16,17897.46,17925.95,17937.65,17867.41,118100000,-0.16,42475
18-Apr-16,18004.16,17890.20,18009.53,17848.22,89390000,0.6,42478
19-Apr-16,18053.60,18012.10,18103.46,17984.43,89820000,0.27,42479
20-Apr-16,18096.27,18059.49,18167.63,18031.21,100200000,0.24,42480
21-Apr-16,17982.52,18092.84,18107.29,17963.89,102700000,-0.63,42481
22-Apr-16,18003.75,17985.05,18026.85,17909.89,134100000,0.12,42482
25-Apr-16,17977.24,17990.94,17990.94,17855.55,83770000,-0.15,42485
26-Apr-16,17990.32,17987.38,18043.77,17934.17,92570000,0.07,42486
27-Apr-16,18041.55,17996.14,18084.66,17920.26,109000000,0.28,42487
28-Apr-16,17830.76,18023.88,18035.73,17796.55,100900000,-1.17,42488
29-Apr-16,17773.64,17813.09,17814.83,17651.98,136600000,-0.32,42489
02-May-16,17891.16,17783.78,17912.35,17773.71,80100000,0.66,42492
03-May-16,17750.91,17870.75,17870.75,17670.88,97070000,-0.78,42493
04-May-16,17651.26,17735.02,17738.06,17609.01,95020000,-0.56,42494
05-May-16,17660.71,17664.48,17736.11,17615.82,81530000,0.05,42495
06-May-16,17740.63,17650.30,17744.54,17580.38,80020000,0.45,42496
09-May-16,17705.91,17743.85,17783.16,17668.38,85590000,-0.2,42499
10-May-16,17928.35,17726.66,17934.61,17726.66,75790000,1.26,42500
11-May-16,17711.12,17919.03,17919.03,17711.05,87390000,-1.21,42501
12-May-16,17720.50,17722.01,17798.19,17625.38,88570000,0.05,42502
13-May-16,17535.32,17711.12,17734.74,17512.48,86650000,-1.05,42503
16-May-16,17710.71,17531.76,17755.80,17531.76,88440000,1,42506
17-May-16,17529.98,17701.46,17701.46,17469.92,103200000,-1.02,42507
18-May-16,17526.62,17501.28,17636.22,17418.21,79120000,-0.02,42508
19-May-16,17435.40,17514.16,17514.16,17331.07,95530000,-0.52,42509
20-May-16,17500.94,17437.32,17571.75,17437.32,112000000,0.38,42510
23-May-16,17492.93,17507.04,17550.70,17480.05,87790000,-0.05,42513
24-May-16,17706.05,17525.19,17742.59,17525.19,86480000,1.22,42514
25-May-16,17851.51,17735.09,17891.71,17735.09,79180000,0.82,42515
26-May-16,17828.29,17859.52,17888.66,17803.82,68940000,-0.13,42516
27-May-16,17873.22,17826.85,17873.22,17824.73,73190000,0.25,42517
31-May-16,17787.20,17891.50,17899.24,17724.03,147300000,-0.48,42521
01-Jun-16,17789.67,17754.55,17809.18,17664.79,78530000,0.01,42522
02-Jun-16,17838.56,17789.05,17838.56,17703.55,75560000,0.27,42523
03-Jun-16,17807.06,17799.80,17833.17,17689.68,82280000,-0.18,42524
06-Jun-16,17920.33,17825.69,17949.68,17822.81,71870000,0.64,42527
07-Jun-16,17938.28,17936.22,18003.23,17936.22,78750000,0.1,42528
08-Jun-16,18005.05,17931.91,18016.00,17931.91,71260000,0.37,42529
09-Jun-16,17985.19,17969.98,18005.22,17915.88,69690000,-0.11,42530
10-Jun-16,17865.34,17938.82,17938.82,17812.34,90540000,-0.67,42531
13-Jun-16,17732.48,17830.50,17893.28,17731.35,101600000,-0.74,42534
14-Jun-16,17674.82,17710.77,17733.92,17595.79,93740000,-0.33,42535
15-Jun-16,17640.17,17703.65,17762.96,17629.01,94130000,-0.2,42536
16-Jun-16,17733.10,17602.23,17754.91,17471.29,91950000,0.53,42537
17-Jun-16,17675.16,17733.44,17733.44,17602.78,248600000,-0.33,42538
20-Jun-16,17804.87,17736.87,17946.36,17736.87,99380000,0.73,42541
21-Jun-16,17829.73,17827.33,17877.84,17799.80,85140000,0.14,42542
22-Jun-16,17780.83,17832.67,17920.16,17770.36,89440000,-0.27,42543
23-Jun-16,18011.07,17844.11,18011.07,17844.11,98110000,1.29,42544
24-Jun-16,17400.75,17946.63,17946.63,17356.34,239000000,-3.39,42545
27-Jun-16,17140.24,17355.21,17355.21,17063.08,138700000,-1.5,42548
28-Jun-16,17409.72,17190.51,17409.72,17190.51,112100000,1.57,42549
29-Jun-16,17694.68,17456.02,17704.51,17456.02,106300000,1.64,42550
30-Jun-16,17929.99,17712.76,17930.61,17711.80,133000000,1.33,42551
01-Jul-16,17949.37,17924.24,18002.38,17916.91,82160000,0.11,42552
05-Jul-16,17840.62,17904.45,17904.45,17785.28,103600000,-0.61,42556
06-Jul-16,17918.62,17807.47,17926.91,17713.45,93000000,0.44,42557
07-Jul-16,17895.88,17924.24,17984.95,17816.65,81580000,-0.13,42558
08-Jul-16,18146.74,17971.22,18166.77,17971.22,93460000,1.4,42559
11-Jul-16,18226.93,18161.53,18283.90,18161.53,80880000,0.44,42562
12-Jul-16,18347.67,18259.12,18371.95,18259.12,90210000,0.66,42563
13-Jul-16,18372.12,18356.78,18390.16,18315.76,80920000,0.13,42564
14-Jul-16,18506.41,18414.30,18537.57,18414.30,87050000,0.73,42565
15-Jul-16,18516.55,18508.88,18557.43,18471.62,123600000,0.05,42566
18-Jul-16,18533.05,18521.55,18556.13,18489.84,75540000,0.09,42569
19-Jul-16,18559.01,18503.12,18562.53,18495.11,85840000,0.14,42570
20-Jul-16,18595.03,18582.70,18622.01,18555.65,93230000,0.19,42571
21-Jul-16,18517.23,18589.96,18590.44,18469.67,86800000,-0.42,42572
22-Jul-16,18570.85,18524.15,18571.30,18491.59,87710000,0.29,42573
25-Jul-16,18493.06,18554.49,18555.69,18452.62,76810000,-0.42,42576
26-Jul-16,18473.75,18497.37,18522.47,18387.22,85370000,-0.1,42577
27-Jul-16,18472.17,18473.27,18542.39,18430.94,111300000,-0.01,42578
28-Jul-16,18456.35,18461.01,18483.26,18368.82,85750000,-0.09,42579
29-Jul-16,18432.24,18442.52,18466.55,18371.12,111500000,-0.13,42580
01-Aug-16,18404.51,18434.50,18467.03,18355.75,83470000,-0.15,42583
02-Aug-16,18313.77,18401.15,18403.65,18247.79,89680000,-0.49,42584
03-Aug-16,18355.00,18313.08,18355.00,18283.23,78550000,0.23,42585
04-Aug-16,18352.05,18351.43,18397.87,18325.17,64500000,-0.02,42586
05-Aug-16,18543.53,18402.80,18543.53,18402.80,92420000,1.04,42587
08-Aug-16,18529.29,18540.65,18569.31,18502.03,71810000,-0.08,42590
09-Aug-16,18533.05,18538.05,18585.32,18507.75,60090000,0.02,42591
10-Aug-16,18495.66,18541.48,18561.75,18468.78,62780000,-0.2,42592
11-Aug-16,18613.52,18519.08,18638.34,18519.08,71470000,0.64,42593
12-Aug-16,18576.47,18595.65,18606.06,18535.86,61580000,-0.2,42594
15-Aug-16,18636.05,18588.59,18668.44,18588.59,62350000,0.32,42597
16-Aug-16,18552.02,18614.48,18614.86,18550.65,67570000,-0.45,42598
17-Aug-16,18573.94,18537.09,18582.35,18468.68,71000000,0.12,42599
18-Aug-16,18597.70,18566.54,18600.82,18533.29,70740000,0.13,42600
19-Aug-16,18552.57,18585.17,18585.17,18491.24,93170000,-0.24,42601
22-Aug-16,18529.42,18535.86,18570.92,18466.86,73450000,-0.12,42604
23-Aug-16,18547.30,18568.94,18631.60,18545.52,73990000,0.1,42605
24-Aug-16,18481.48,18537.50,18539.15,18448.27,72270000,-0.35,42606
25-Aug-16,18448.41,18471.21,18497.68,18431.46,64480000,-0.18,42607
26-Aug-16,18395.40,18467.92,18572.09,18335.34,78730000,-0.29,42608
29-Aug-16,18502.99,18421.29,18523.09,18419.92,64480000,0.58,42611
30-Aug-16,18454.30,18491.28,18514.29,18408.52,68920000,-0.26,42612
31-Aug-16,18400.88,18436.70,18439.68,18333.56,98250000,-0.29,42613
01-Sep-16,18419.30,18396.57,18430.05,18295.48,74780000,0.1,42614
02-Sep-16,18491.96,18466.01,18544.76,18439.10,74350000,0.39,42615
06-Sep-16,18538.12,18493.40,18551.54,18450.32,83710000,0.25,42619
07-Sep-16,18526.14,18527.71,18536.89,18474.77,67570000,-0.06,42620
08-Sep-16,18479.91,18486.69,18506.24,18446.69,79060000,-0.25,42621
09-Sep-16,18085.45,18404.17,18404.17,18085.45,120600000,-2.13,42622
12-Sep-16,18325.07,18028.95,18358.69,17994.84,103200000,1.32,42625
13-Sep-16,18066.75,18262.99,18262.99,18028.06,102800000,-1.41,42626
14-Sep-16,18034.77,18073.39,18163.48,17992.21,103300000,-0.18,42627
15-Sep-16,18212.48,18024.91,18250.11,18015.49,99560000,0.99,42628
16-Sep-16,18123.80,18217.21,18217.21,18070.21,278500000,-0.49,42629
19-Sep-16,18120.17,18154.82,18254.88,18093.05,78090000,-0.02,42632
20-Sep-16,18129.96,18175.36,18227.21,18128.80,72460000,0.05,42633
21-Sep-16,18293.70,18164.96,18307.43,18121.57,94100000,0.9,42634
22-Sep-16,18392.46,18343.76,18449.88,18343.76,73030000,0.54,42635
23-Sep-16,18261.45,18377.36,18383.76,18254.84,87180000,-0.71,42636
26-Sep-16,18094.83,18217.76,18217.76,18083.32,95510000,-0.91,42639
27-Sep-16,18228.30,18099.21,18238.10,18052.16,84130000,0.74,42640
28-Sep-16,18339.24,18240.22,18349.86,18179.34,97650000,0.61,42641
29-Sep-16,18143.45,18322.88,18366.23,18091.64,95880000,-1.07,42642
30-Sep-16,18308.15,18181.80,18369.62,18181.80,135400000,0.91,42643
03-Oct-16,18253.85,18279.60,18279.80,18203.75,68520000,-0.3,42646
04-Oct-16,18168.45,18267.68,18313.77,18116.26,79710000,-0.47,42647
05-Oct-16,18281.03,18205.50,18315.82,18205.50,76190000,0.62,42648
06-Oct-16,18268.50,18280.42,18288.12,18162.97,78660000,-0.07,42649
07-Oct-16,18240.49,18295.35,18319.73,18149.35,82680000,-0.15,42650
10-Oct-16,18329.04,18282.95,18399.96,18282.95,72110000,0.49,42653
11-Oct-16,18128.66,18308.43,18312.33,18061.96,88610000,-1.09,42654
12-Oct-16,18144.20,18132.63,18193.96,18082.09,72230000,0.09,42655
13-Oct-16,18098.94,18088.32,18137.70,17959.95,83160000,-0.25,42656
14-Oct-16,18138.38,18177.35,18261.11,18138.38,87050000,0.22,42657
17-Oct-16,18086.40,18135.85,18162.28,18063.02,75960000,-0.29,42660
18-Oct-16,18161.94,18145.06,18225.80,18129.45,74800000,0.42,42661
19-Oct-16,18202.62,18178.21,18252.20,18169.25,88040000,0.22,42662
20-Oct-16,18162.35,18161.87,18249.05,18129.07,88830000,-0.22,42663
21-Oct-16,18145.71,18152.63,18168.76,18049.77,117800000,-0.09,42664
24-Oct-16,18223.03,18197.14,18275.04,18191.18,88550000,0.43,42667
25-Oct-16,18169.27,18206.52,18241.69,18151.70,83190000,-0.3,42668
26-Oct-16,18199.33,18103.80,18236.04,18062.30,86340000,0.17,42669
27-Oct-16,18169.68,18234.81,18253.20,18149.20,83530000,-0.16,42670
28-Oct-16,18161.19,18193.79,18257.06,18094.97,107800000,-0.05,42671
31-Oct-16,18142.42,18176.60,18193.68,18130.58,110000000,-0.1,42674
01-Nov-16,18037.10,18158.24,18177.01,17940.84,101200000,-0.58,42675
02-Nov-16,17959.64,18017.72,18044.15,17931.89,88610000,-0.43,42676
03-Nov-16,17930.67,17978.75,18006.96,17904.07,77860000,-0.16,42677
04-Nov-16,17888.28,17928.35,17986.76,17883.56,97760000,-0.24,42678
07-Nov-16,18259.60,17994.64,18263.30,17994.64,93450000,2.08,42681
08-Nov-16,18332.74,18251.38,18400.50,18200.75,79820000,0.4,42682
09-Nov-16,18589.69,18317.26,18650.06,18252.55,173100000,1.4,42683
10-Nov-16,18807.88,18603.14,18873.66,18603.14,164300000,1.17,42684
11-Nov-16,18847.66,18781.65,18855.78,18736.96,107300000,0.21,42685
14-Nov-16,18868.69,18876.77,18934.05,18815.75,112200000,0.11,42688
15-Nov-16,18923.06,18858.21,18925.26,18806.06,100600000,0.29,42689
16-Nov-16,18868.14,18909.85,18909.85,18825.89,87320000,-0.29,42690
17-Nov-16,18903.82,18866.22,18904.03,18845.27,89940000,0.19,42691
18-Nov-16,18867.93,18905.33,18915.74,18853.83,109800000,-0.19,42692
21-Nov-16,18956.69,18898.68,18960.76,18883.10,80520000,0.47,42695
22-Nov-16,19023.87,18970.39,19043.90,18962.82,85310000,0.35,42696
23-Nov-16,19083.18,19015.52,19083.76,19000.38,77880000,0.31,42697
25-Nov-16,19152.14,19093.72,19152.14,19093.72,45890000,0.36,42699
28-Nov-16,19097.90,19122.14,19138.72,19072.25,88460000,-0.28,42702
29-Nov-16,19121.60,19064.07,19144.40,19062.22,81510000,0.12,42703
30-Nov-16,19123.58,19135.64,19225.29,19123.38,164500000,0.01,42704
01-Dec-16,19191.93,19149.20,19214.30,19138.79,108800000,0.36,42705
02-Dec-16,19170.42,19161.25,19196.14,19141.18,84920000,-0.11,42706
05-Dec-16,19216.24,19244.35,19274.85,19186.73,317800000,0.24,42709
06-Dec-16,19251.78,19219.91,19255.89,19184.74,284900000,0.18,42710
07-Dec-16,19549.62,19241.99,19558.42,19229.83,385200000,1.55,42711
