Date,Price,Open,High,Low,Vol.,Change %,Date_m
01-Jan-18,752.46,736.77,762,717.94,121500,2.13,43101
02-Jan-18,858.78,752.46,890,752.46,420900,14.13,43102
03-Jan-18,942.01,858.78,954.73,840,310500,9.69,43103
04-Jan-18,940,942.01,997,893.24,348600,-0.21,43104
05-Jan-18,962.77,939.3,1023.6,930,298200,2.42,43105
06-Jan-18,1004.3,962.77,1014.2,951.38,127700,4.31,43106
07-Jan-18,1115.8,1004.3,1116,999.5,199800,11.1,43107
08-Jan-18,1129.3,1115.9,1225,968.12,439400,1.21,43108
09-Jan-18,1283.7,1129.4,1299,1119.1,296900,13.67,43109
10-Jan-18,1248,1285.7,1381.9,1203.2,380400,-2.78,43110
11-Jan-18,1135.5,1245.9,1331.8,1102.5,360500,-9.01,43111
12-Jan-18,1257.2,1135.1,1285,1083.4,209200,10.72,43112
13-Jan-18,1380,1257,1423.2,1252.6,202700,9.77,43113
14-Jan-18,1350,1379.9,1385,1256,176700,-2.17,43114
15-Jan-18,1273.4,1349.9,1377.9,1264.4,137600,-5.67,43115
16-Jan-18,1020.1,1275.8,1278.8,868.98,672000,-19.89,43116
17-Jan-18,1017.5,1019.6,1088.3,770.1,686580,-0.25,43117
18-Jan-18,994.81,1020.1,1079,940,374070,-2.23,43118
19-Jan-18,1032.6,993.92,1079,960.1,174910,3.8,43119
20-Jan-18,1146,1032.6,1160,1029.6,163860,10.98,43120
21-Jan-18,1047,1146.3,1146.3,1001.5,197630,-8.64,43121
22-Jan-18,995.08,1047,1084.1,912.76,238820,-4.96,43122
23-Jan-18,982.98,995.26,1022,905.38,228080,-1.22,43123
24-Jan-18,1063.2,982.11,1068.8,952.04,173180,8.16,43124
25-Jan-18,1048.2,1061.8,1102.4,1025.1,162090,-1.41,43125
26-Jan-18,1047,1048.2,1078.6,983,138710,-0.11,43126
27-Jan-18,1114.8,1046.9,1125.3,1031.6,105760,6.48,43127
28-Jan-18,1246.6,1114.7,1264.8,1109,189360,11.82,43128
29-Jan-18,1175,1245.5,1259.8,1155.9,139560,-5.74,43129
30-Jan-18,1076,1174.3,1178.8,1041,246880,-8.43,43130
31-Jan-18,1121.3,1076.8,1128.7,1027.8,136700,4.21,43131
01-Feb-18,1036.3,1120.7,1167,985.01,285600,-7.58,43132
02-Feb-18,923.3,1036.2,1038.7,769.99,520790,-10.9,43133
03-Feb-18,972.4,923.2,999,845,211350,5.32,43134
04-Feb-18,829.98,972.19,972.69,776,340100,-14.65,43135
05-Feb-18,698.62,827.9,858,641.01,547570,-15.83,43136
06-Feb-18,781.6,698.62,798.7,566,790230,11.88,43137
07-Feb-18,751.25,782.99,848.6,716.3,416980,-3.88,43138
08-Feb-18,813.2,752.88,845.88,749.88,236130,8.25,43139
09-Feb-18,878.9,814.01,881.69,780.53,182420,8.08,43140
10-Feb-18,852,878.01,908.99,815.52,165700,-3.06,43141
11-Feb-18,810.64,851.66,854.5,778.52,146900,-4.85,43142
12-Feb-18,866.4,810.64,876.52,810.64,130220,6.88,43143
13-Feb-18,839.69,866.4,869.26,821.57,130390,-3.08,43144
14-Feb-18,919.11,839.69,922,839.69,199270,9.46,43145
15-Feb-18,926.32,919.13,945,903.2,205520,0.78,43146
16-Feb-18,937.38,925.02,944,907,134070,1.19,43147
17-Feb-18,973.28,937.37,973.55,933.52,124670,3.83,43148
18-Feb-18,912.21,973.29,979,901,184030,-6.27,43149
19-Feb-18,939.18,913.1,955.84,909.4,118340,2.96,43150
20-Feb-18,884.51,939.19,958.99,875,150180,-5.82,43151
21-Feb-18,837.79,884.5,903.33,815.32,220260,-5.28,43152
