Date,Price,Open,High,Low,Vol.,Change %,Date_m
01-Jun-16,1211.90,1215.70,1219.80,1205.40,2.72K,-0.24,42522
02-Jun-16,1209.80,1212.40,1217.00,1209.60,1.63K,-0.17,42523
03-Jun-16,1240.10,1209.10,1244.50,1206.40,1.62K,2.5,42524
06-Jun-16,1244.60,1244.40,1247.30,1240.00,1.14K,0.36,42527
07-Jun-16,1244.40,1244.00,1244.90,1236.50,0.28K,-0.02,42528
08-Jun-16,1259.80,1247.60,1264.00,1247.30,0.41K,1.24,42529
09-Jun-16,1270.20,1262.50,1271.40,1258.10,0.38K,0.83,42530
10-Jun-16,1273.40,1267.60,1278.00,1265.30,0.40K,0.25,42531
13-Jun-16,1284.40,1276.20,1287.30,1273.00,0.33K,0.86,42534
14-Jun-16,1285.60,1281.80,1289.70,1277.80,0.55K,0.09,42535
15-Jun-16,1285.80,1284.60,1296.20,1278.80,0.16K,0.02,42536
16-Jun-16,1296.10,1296.30,1316.40,1281.10,0.25K,0.8,42537
17-Jun-16,1292.50,1280.30,1300.10,1280.30,0.13K,-0.28,42538
20-Jun-16,1290.00,1288.90,1291.20,1280.30,0.15K,-0.19,42541
21-Jun-16,1270.50,1293.90,1293.90,1266.30,0.13K,-1.51,42542
22-Jun-16,1268.00,1267.00,1269.20,1264.90,0.05K,-0.2,42543
23-Jun-16,1261.20,1263.40,1270.50,1255.20,0.22K,-0.54,42544
24-Jun-16,1320.00,1253.70,1355.60,1253.70,0.69K,4.66,42545
27-Jun-16,1322.50,1330.00,1331.70,1320.00,0.09K,0.19,42548
28-Jun-16,1315.30,1314.80,1315.60,1314.10,0.02K,-0.54,42549
29-Jun-16,1323.90,1311.60,1327.40,1311.60,0.41K,0.65,42550
30-Jun-16,1318.40,1315.80,1323.50,1314.50,0.56K,-0.42,42551
01-Jul-16,1336.70,1324.50,1344.20,1321.90,0.14K,1.39,42552
03-Jul-16,1345.50,1344.50,1347.55,1338.85,0,0.66,42554
04-Jul-16,1352.00,1345.00,1360.15,1343.00,0,0.48,42555
05-Jul-16,1356.40,1342.20,1356.80,1339.70,0.09K,0.33,42556
06-Jul-16,1364.90,1359.00,1374.90,1359.00,0.13K,0.63,42557
07-Jul-16,1360.10,1366.80,1368.60,1350.50,0.21K,-0.35,42558
08-Jul-16,1356.60,1361.30,1365.80,1335.00,0.25K,-0.26,42559
11-Jul-16,1355.00,1371.70,1371.80,1353.00,0.03K,-0.12,42562
12-Jul-16,1334.10,1353.60,1356.00,1330.30,0.25K,-1.54,42563
13-Jul-16,1342.40,1341.50,1341.50,1336.70,0.01K,0.62,42564
14-Jul-16,1331.30,1341.40,1341.40,1322.70,0.02K,-0.83,42565
15-Jul-16,1326.50,1333.70,1333.70,1322.90,0.05K,-0.36,42566
18-Jul-16,1328.40,1327.50,1335.00,1326.20,0.05K,0.14,42569
19-Jul-16,1331.50,1328.50,1333.20,1326.40,0.32K,0.23,42570
20-Jul-16,1318.80,1331.00,1337.50,1315.50,0.75K,-0.95,42571
21-Jul-16,1330.50,1312.80,1329.50,1312.80,0.32K,0.89,42572
22-Jul-16,1323.10,1330.70,1330.70,1320.40,0.06K,-0.56,42573
25-Jul-16,1319.30,1315.70,1318.10,1313.80,0.55K,-0.29,42576
26-Jul-16,1320.70,1315.20,1320.30,1315.20,0.06K,0.11,42577
27-Jul-16,1326.60,1326.00,1326.30,1326.00,0.00K,0.45,42578
28-Jul-16,1332.30,1339.50,1344.30,1330.10,56.91K,0.43,42579
29-Jul-16,1349.00,1333.20,1353.30,1325.80,6.08K,1.25,42580
01-Aug-16,1351.40,1348.80,1353.50,1345.60,1.26K,0.18,42583
02-Aug-16,1364.40,1352.10,1366.00,1346.60,2.94K,0.96,42584
03-Aug-16,1356.10,1362.40,1364.70,1353.30,0.72K,-0.61,42585
04-Aug-16,1358.80,1354.40,1361.60,1347.00,0.38K,0.2,42586
05-Aug-16,1336.40,1357.60,1360.80,1333.70,1.11K,-1.65,42587
08-Aug-16,1333.40,1330.00,1335.40,1327.80,0.59K,-0.22,42590
09-Aug-16,1339.00,1331.80,1339.40,1328.50,0.62K,0.42,42591
10-Aug-16,1344.30,1344.80,1354.20,1344.70,0.11K,0.4,42592
11-Aug-16,1342.50,1341.60,1350.40,1334.80,0.67K,-0.13,42593
12-Aug-16,1335.80,1336.80,1351.80,1333.20,0.11K,-0.5,42594
15-Aug-16,1340.30,1336.50,1340.60,1333.60,0.06K,0.34,42597
16-Aug-16,1350.50,1342.20,1355.00,1341.00,0.34K,0.76,42598
17-Aug-16,1342.70,1345.50,1347.30,1338.60,0.14K,-0.58,42599
18-Aug-16,1351.20,1351.30,1354.40,1348.20,0.14K,0.63,42600
19-Aug-16,1340.40,1350.10,1350.10,1338.60,0.20K,-0.8,42601
22-Aug-16,1337.70,1334.40,1337.70,1333.30,0.12K,-0.2,42604
23-Aug-16,1340.60,1337.00,1341.20,1334.30,0.55K,0.22,42605
24-Aug-16,1324.40,1337.20,1337.20,1322.90,0.26K,-1.21,42606
25-Aug-16,1320.10,1321.40,1324.00,1317.00,0.06K,-0.32,42607
26-Aug-16,1321.50,1323.80,1340.50,1320.10,0.14K,0.11,42608
29-Aug-16,1322.90,1315.00,1323.00,1315.00,0.04K,0.11,42611
30-Aug-16,1311.70,1322.00,1322.10,1308.00,0.71K,-0.85,42612
31-Aug-16,1306.90,1310.30,1313.70,1306.30,0.21K,-0.37,42613
01-Sep-16,1312.20,1305.30,1313.10,1301.50,0.23K,0.41,42614
02-Sep-16,1322.10,1309.60,1326.70,1309.20,0.06K,0.75,42615
04-Sep-16,1326.25,1328.20,1328.75,1326.15,0,0.31,42617
05-Sep-16,1331.10,1326.35,1332.15,1325.55,0,0.37,42618
06-Sep-16,1349.40,1323.30,1347.20,1323.20,0.05K,1.37,42619
07-Sep-16,1344.30,1348.40,1350.50,1343.90,0.01K,-0.38,42620
08-Sep-16,1336.80,1344.80,1345.40,1335.70,0.03K,-0.56,42621
09-Sep-16,1330.10,1338.50,1338.50,1328.00,0.04K,-0.5,42622
12-Sep-16,1321.00,1327.00,1329.30,1319.90,0.18K,-0.68,42625
13-Sep-16,1319.00,1324.60,1324.60,1315.00,0.08K,-0.15,42626
14-Sep-16,1321.50,1319.20,1322.30,1319.20,0.07K,0.19,42627
15-Sep-16,1313.50,1320.70,1320.70,1310.80,0.04K,-0.61,42628
16-Sep-16,1305.80,1312.20,1312.60,1311.90,0.00K,-0.59,42629
18-Sep-16,1314.15,1313.25,1315.75,1312.90,0,0.64,42631
19-Sep-16,1317.15,1314.15,1321.55,1312.65,0,0.23,42632
20-Sep-16,1319.25,1317.05,1321.05,1315.25,0,0.16,42633
21-Sep-16,1326.90,1326.30,1326.30,1324.00,0.08K,0.58,42634
22-Sep-16,1340.40,1338.60,1338.60,1338.20,0.02K,1.02,42635
23-Sep-16,1341.55,1340.95,1344.45,1337.45,0,0.09,42636
26-Sep-16,1339.70,1335.20,1341.80,1335.20,0.02K,-0.14,42639
