Date,Price,Open,High,Low,Vol.,Change %,Date_m
24-08-16,3.84,3.95,3.96,3.61,5.08K,-2.78,42606
25-08-16,3.81,3.84,3.88,3.75,5.09K,-0.78,42607
26-08-16,3.81,3.81,3.90,3.77,3.34K,0,42608
27-08-16,3.78,3.81,3.85,3.62,1.14K,-0.79,42609
28-08-16,3.72,3.78,3.78,3.62,1.90K,-1.59,42610
29-08-16,3.77,3.72,3.84,3.70,0.85K,1.34,42611
30-08-16,3.81,3.77,3.85,3.74,0.37K,1.06,42612
31-08-16,3.74,3.81,3.85,3.74,0.38K,-1.84,42613
01-09-16,3.66,3.74,3.90,3.26,3.60K,-2.14,42614
02-09-16,3.84,3.66,4.35,3.65,2.75K,4.92,42615
03-09-16,3.88,3.84,3.99,3.80,1.74K,1.04,42616
04-09-16,4.02,3.88,4.08,3.85,1.14K,3.61,42617
05-09-16,3.96,4.02,4.07,3.94,0.45K,-1.49,42618
06-09-16,3.95,3.96,3.98,3.91,0.64K,-0.25,42619
07-09-16,3.96,3.95,4.03,3.91,0.50K,0.25,42620
08-09-16,4.01,3.96,4.03,3.95,0.08K,1.26,42621
09-09-16,3.96,4.01,4.02,3.94,0.40K,-1.25,42622
10-09-16,3.96,3.96,4.00,3.95,0.02K,0,42623
11-09-16,3.90,3.96,4.04,3.86,1.16K,-1.52,42624
12-09-16,3.88,3.90,3.96,3.77,0.84K,-0.51,42625
13-09-16,3.81,3.88,3.88,3.80,0.34K,-1.8,42626
14-09-16,3.85,3.81,3.85,3.80,0.05K,1.05,42627
15-09-16,3.81,3.85,3.95,3.81,0.61K,-1.04,42628
16-09-16,3.81,3.81,3.89,3.80,0.33K,0,42629
17-09-16,3.82,3.81,3.88,3.81,0.21K,0.26,42630
18-09-16,3.87,3.82,3.87,3.81,1.27K,1.31,42631
19-09-16,3.86,3.87,3.93,3.80,0.44K,-0.26,42632
20-09-16,4.00,3.86,4.00,3.76,2.60K,3.63,42633
21-09-16,3.82,4.00,6.72,3.61,2.32K,-4.5,42634
22-09-16,3.79,3.76,5.05,3.76,2.47K,-0.79,42635
23-09-16,3.83,3.79,4.20,3.77,0.72K,1.06,42636
24-09-16,3.87,3.83,4.06,3.83,0.28K,1.04,42637
25-09-16,3.80,3.87,3.87,3.80,0.24K,-1.81,42638
26-09-16,3.92,3.80,4.00,3.79,0.82K,3.16,42639
27-09-16,3.83,3.92,3.92,3.79,0.98K,-2.3,42640
28-09-16,3.81,3.83,3.90,3.79,0.32K,-0.52,42641
29-09-16,3.86,3.81,3.88,3.81,0.10K,1.31,42642
30-09-16,3.81,3.86,3.87,3.80,1.09K,-1.3,42643
01-10-16,3.85,3.81,3.86,3.81,0.38K,1.05,42644
02-10-16,3.83,3.85,3.86,3.82,0.09K,-0.52,42645
03-10-16,3.83,3.83,3.94,3.83,0.79K,0,42646
