Date_m,Date,Price,Open,High,Low,Vol.,Change %
42677,03-Nov-16,5058.41,5104.7,5115.06,5053.52,471.92M,-0.92
42678,04-Nov-16,5046.37,5034.41,5087.51,5034.41,478.36M,-0.24
42681,07-Nov-16,5166.17,5128.99,5169.41,5122.77,456.10M,2.37
42682,08-Nov-16,5193.49,5154.99,5214.17,5145.3,395.69M,0.53
42683,09-Nov-16,5251.07,5143.86,5258.99,5143.86,673.59M,1.11
42684,10-Nov-16,5208.8,5283.48,5302.68,5145.32,695.55M,-0.8
42685,11-Nov-16,5237.11,5191.82,5241.08,5179.64,561.97M,0.54
42688,14-Nov-16,5218.4,5246.33,5247.17,5192.05,537.26M,-0.36
42689,15-Nov-16,5275.62,5241.35,5287.06,5236.25,493.91M,1.1
42690,16-Nov-16,5294.58,5253.73,5299.63,5251.88,462.54M,0.36
42691,17-Nov-16,5333.97,5295.07,5334.05,5288.16,463.15M,0.74
42692,18-Nov-16,5321.51,5340.97,5346.8,5315.53,480.19M,-0.23
42695,21-Nov-16,5368.86,5336.78,5369.83,5334.16,411.24M,0.89
42696,22-Nov-16,5386.35,5384.75,5392.26,5365.6,433.19M,0.33
42697,23-Nov-16,5380.68,5366.55,5380.68,5350.68,385.75M,-0.11
42699,25-Nov-16,5398.92,5388.49,5398.92,5379.28,197.46M,0.34
42702,28-Nov-16,5368.81,5387.92,5396.27,5364.91,390.77M,-0.56
42703,29-Nov-16,5379.92,5370.98,5403.86,5360.56,440.16M,0.21
42704,30-Nov-16,5323.68,5391.35,5393.15,5323.68,580.79M,-1.05
42705,01-Dec-16,5251.11,5323.88,5326.34,5238.21,526.21M,-1.36
42706,02-Dec-16,5255.65,5249.02,5274.54,5239.27,431.83M,0.09
42709,05-Dec-16,5308.89,5283.58,5321.09,5269.57,435.66M,1.01
42710,06-Dec-16,5333,5317.74,5333.99,5299.94,438.30M,0.45
42711,07-Dec-16,5393.76,5322.67,5397.93,5307.31,484.56M,1.14
42712,08-Dec-16,5417.36,5394.15,5425.52,5389.1,494.46M,0.44
42713,09-Dec-16,5444.5,5436.11,5450.16,5427.12,436.08M,0.5
42716,12-Dec-16,5412.54,5428.22,5434.9,5394.42,450.45M,-0.59
42717,13-Dec-16,5463.83,5433.57,5486.75,5430.72,470.73M,0.95
42718,14-Dec-16,5436.67,5465.69,5476.25,5425.73,462.23M,-0.5
42719,15-Dec-16,5456.85,5443.51,5485.12,5439.39,486.60M,0.37
42720,16-Dec-16,5437.16,5467.82,5474.58,5426.01,1.19B,-0.36
42723,19-Dec-16,5457.44,5441.2,5483.42,5436.54,402.71M,0.37
42724,20-Dec-16,5483.94,5473.53,5489.47,5471.71,395.33M,0.49
42725,21-Dec-16,5471.43,5482.63,5486.26,5465.31,336.01M,-0.23
42726,22-Dec-16,5447.42,5472.01,5472.01,5432.77,362.87M,-0.44
42727,23-Dec-16,5462.69,5441.76,5462.69,5441.76,264.11M,0.28
42731,27-Dec-16,5487.44,5470.76,5512.37,5469.61,269.42M,0.45
42732,28-Dec-16,5438.56,5497.44,5498.91,5434.7,294.74M,-0.89
42733,29-Dec-16,5432.09,5437.51,5450.63,5415.18,289.60M,-0.12
42734,30-Dec-16,5383.12,5440.17,5441.9,5371.89,395.59M,-0.9
42738,03-Jan-17,5429.08,5425.62,5452.56,5397.99,450.68M,0.85
42739,04-Jan-17,5477.01,5440.91,5482.35,5440.24,455.34M,0.88
42740,05-Jan-17,5487.94,5474.39,5495.85,5464.36,423.64M,0.2
42741,06-Jan-17,5521.06,5499.08,5536.52,5482.81,382.85M,0.6
42744,09-Jan-17,5531.82,5527.57,5541.08,5517.14,433.10M,0.19
42745,10-Jan-17,5551.82,5536.54,5564.25,5528.11,431.57M,0.36
42746,11-Jan-17,5563.65,5550.72,5564.08,5524.03,435.71M,0.21
42747,12-Jan-17,5547.49,5542.56,5550.67,5496.82,394.73M,-0.29
42748,13-Jan-17,5574.12,5557.57,5584.26,5557.2,357.66M,0.48
42752,17-Jan-17,5538.73,5555.16,5557.05,5527.22,415.58M,-0.63
42753,18-Jan-17,5555.65,5546.94,5555.98,5534.77,380.31M,0.31
42754,19-Jan-17,5540.08,5560.61,5571.53,5528.37,398.66M,-0.28
42755,20-Jan-17,5555.33,5556.87,5574.35,5542.23,444.46M,0.28
