Date,Price,Open,High,Low,Vol.,Change %,Date_m
02-02-12,1325.54,1324.24,1329.19,1321.57,0,0.11,40941
03-02-12,1344.90,1326.21,1345.34,1326.21,0,1.46,40942
06-02-12,1344.33,1344.32,1344.36,1337.52,0,-0.04,40945
07-02-12,1347.05,1344.33,1349.24,1335.92,0,0.2,40946
08-02-12,1349.96,1347.04,1351.00,1341.95,0,0.22,40947
09-02-12,1351.95,1349.97,1354.32,1344.63,0,0.15,40948
10-02-12,1342.64,1351.21,1351.21,1337.35,0,-0.69,40949
13-02-12,1351.77,1343.06,1353.35,1343.06,0,0.68,40952
14-02-12,1350.50,1351.30,1351.30,1340.83,0,-0.09,40953
15-02-12,1343.23,1350.52,1355.87,1340.80,0,-0.54,40954
16-02-12,1358.04,1342.61,1359.02,1341.22,0,1.1,40955
17-02-12,1361.23,1358.06,1363.40,1357.24,0,0.23,40956
21-02-12,1362.21,1361.22,1367.76,1358.11,0,0.07,40960
22-02-12,1357.66,1362.11,1362.70,1355.53,0,-0.33,40961
23-02-12,1363.46,1357.53,1364.24,1352.28,0,0.43,40962
24-02-12,1365.74,1363.46,1368.92,1363.46,0,0.17,40963
27-02-12,1367.59,1365.20,1371.94,1354.92,0,0.14,40966
28-02-12,1372.18,1367.56,1373.09,1365.97,0,0.34,40967
29-02-12,1365.68,1372.20,1378.04,1363.81,0,-0.47,40968
01-03-12,1374.09,1365.90,1376.17,1365.90,0,0.62,40969
02-03-12,1369.63,1374.09,1374.53,1366.42,0,-0.32,40970
05-03-12,1364.33,1369.59,1369.59,1359.13,0,-0.39,40973
06-03-12,1343.36,1363.63,1363.63,1340.03,0,-1.54,40974
07-03-12,1352.63,1343.39,1354.85,1343.39,0,0.69,40975
08-03-12,1365.91,1352.65,1368.72,1352.65,0,0.98,40976
09-03-12,1370.87,1365.97,1374.76,1365.97,0,0.36,40977
12-03-12,1371.09,1370.78,1373.04,1366.69,0,0.02,40980
13-03-12,1395.95,1371.92,1396.13,1371.92,0,1.81,40981
14-03-12,1394.28,1395.95,1399.42,1389.97,0,-0.12,40982
15-03-12,1402.60,1394.17,1402.63,1392.78,0,0.6,40983
16-03-12,1404.17,1402.55,1405.88,1401.47,0,0.11,40984
19-03-12,1409.75,1404.17,1414.00,1402.43,0,0.4,40987
20-03-12,1405.52,1409.59,1409.59,1397.68,0,-0.3,40988
21-03-12,1402.89,1405.52,1407.75,1400.64,0,-0.19,40989
22-03-12,1392.78,1402.89,1402.89,1388.73,0,-0.72,40990
23-03-12,1397.11,1392.78,1399.18,1386.87,0,0.31,40991
26-03-12,1416.51,1397.11,1416.58,1397.11,0,1.39,40994
27-03-12,1412.52,1416.55,1419.15,1411.95,0,-0.28,40995
28-03-12,1405.54,1412.52,1413.65,1397.20,0,-0.49,40996
29-03-12,1403.28,1405.39,1405.39,1391.56,0,-0.16,40997
30-03-12,1408.47,1403.31,1410.89,1401.42,0,0.37,40998
02-04-12,1419.04,1408.47,1422.38,1404.46,0,0.75,41001
03-04-12,1413.38,1418.98,1419.00,1404.62,0,-0.4,41002
04-04-12,1398.96,1413.09,1413.09,1394.09,0,-1.02,41003
05-04-12,1398.08,1398.79,1401.60,1392.92,0,-0.06,41004
09-04-12,1382.20,1397.45,1397.45,1378.24,0,-1.14,41008
10-04-12,1358.59,1382.18,1383.01,1357.38,0,-1.71,41009
11-04-12,1368.71,1358.98,1374.71,1358.98,0,0.74,41010
12-04-12,1387.57,1368.77,1388.13,1368.77,0,1.38,41011
13-04-12,1370.26,1387.61,1387.61,1369.85,0,-1.25,41012
16-04-12,1369.57,1370.27,1379.66,1365.38,0,-0.05,41015
17-04-12,1390.78,1369.57,1392.76,1369.57,0,1.55,41016
18-04-12,1385.14,1390.78,1390.78,1383.29,0,-0.41,41017
19-04-12,1376.92,1385.08,1390.46,1370.30,0,-0.59,41018
20-04-12,1378.53,1376.96,1387.40,1376.96,0,0.12,41019
23-04-12,1366.94,1378.53,1378.53,1358.79,0,-0.84,41022
24-04-12,1371.97,1366.97,1375.57,1366.82,0,0.37,41023
25-04-12,1390.69,1372.11,1391.37,1372.11,0,1.36,41024
26-04-12,1399.98,1390.64,1402.09,1387.28,0,0.67,41025
27-04-12,1403.36,1400.19,1406.64,1397.31,0,0.24,41026
30-04-12,1397.91,1403.26,1403.26,1394.00,0,-0.39,41029
01-05-12,1405.82,1397.86,1415.32,1395.73,0,0.57,41030
02-05-12,1402.31,1405.50,1405.50,1393.92,0,-0.25,41031
03-05-12,1391.57,1402.32,1403.07,1388.71,0,-0.77,41032
04-05-12,1369.10,1391.51,1391.51,1367.96,0,-1.61,41033
07-05-12,1369.58,1368.79,1373.91,1363.94,0,0.04,41036
