Date,Price,Open,High,Low,Vol.,Change %,Date_m
01-Nov-17,107.63,107.67,107.67,107.62,432000,-0.05,43040
02-Nov-17,107.66,107.65,107.69,107.63,334000,0.03,43041
03-Nov-17,107.63,107.66,107.70,107.60,288000,-0.03,43042
06-Nov-17,107.64,107.64,107.66,107.62,285000,0.01,43045
07-Nov-17,107.63,107.63,107.64,107.62,265000,-0.01,43046
08-Nov-17,107.61,107.62,107.64,107.59,242000,-0.02,43047
09-Nov-17,107.64,107.60,107.64,107.59,424000,0.03,43048
10-Nov-17,107.59,107.62,107.63,107.58,286000,-0.05,43049
13-Nov-17,107.54,107.59,107.61,107.52,281000,-0.05,43052
14-Nov-17,107.52,107.53,107.55,107.51,370000,-0.02,43053
15-Nov-17,107.54,107.54,107.59,107.52,535000,0.02,43054
16-Nov-17,107.49,107.54,107.55,107.48,452000,-0.05,43055
17-Nov-17,107.48,107.49,107.51,107.47,376000,-0.01,43056
20-Nov-17,107.43,107.48,107.51,107.43,592000,-0.05,43059
21-Nov-17,107.39,107.43,107.44,107.38,652000,-0.04,43060
22-Nov-17,107.49,107.39,107.50,107.39,866000,0.09,43061
23-Nov-17,107.53,107.55,107.55,107.53,0,0.04,43062
24-Nov-17,107.45,107.49,107.50,107.45,386000,-0.07,43063
27-Nov-17,107.48,107.46,107.48,107.43,1200,0.03,43066
28-Nov-17,107.45,107.47,107.50,107.44,1100,-0.03,43067
29-Nov-17,107.43,107.46,107.47,107.40,486000,-0.02,43068
30-Nov-17,107.38,107.42,107.43,107.35,128000,-0.05,43069
01-Dec-17,107.39,107.38,107.45,107.31,40000,0.01,43070
04-Dec-17,107.34,107.36,107.36,107.32,15000,-0.05,43073
05-Dec-17,107.30,107.33,107.34,107.28,16000,-0.04,43074
06-Dec-17,107.34,107.32,107.37,107.32,10000,0.04,43075
07-Dec-17,107.34,107.34,107.35,107.33,10000,0,43076
08-Dec-17,107.36,107.33,107.38,107.31,2300,0.02,43077
11-Dec-17,107.31,107.37,107.38,107.31,4800,-0.05,43080
12-Dec-17,107.30,107.30,107.31,107.27,7800,-0.01,43081
13-Dec-17,107.40,107.32,107.34,107.27,7300,0.09,43082
14-Dec-17,107.34,107.38,107.38,107.32,1700,-0.06,43083
15-Dec-17,107.30,107.32,107.32,107.28,3200,-0.04,43084
18-Dec-17,107.31,107.26,107.30,107.26,2500,0.01,43087
19-Dec-17,107.27,107.27,107.27,107.26,4000,-0.04,43088
20-Dec-17,107.26,107.26,107.27,107.26,2000,-0.01,43089
21-Dec-17,107.23,107.24,107.24,107.23,1100,-0.03,43090
22-Dec-17,107.20,107.22,107.22,107.21,200,-0.03,43091
25-Dec-17,107.00,106.99,107.00,106.98,0,-0.19,43094
26-Dec-17,107.21,107.18,107.22,107.18,3500,0.2,43095
27-Dec-17,107.25,107.21,107.26,107.21,1300,0.04,43096
28-Dec-17,107.24,107.25,107.26,107.25,3900,-0.01,43097
29-Dec-17,107.05,107.03,107.07,107.02,0,-0.18,43098
01-Jan-18,107.04,107.05,107.05,107.04,0,-0.01,43101
02-Jan-18,106.98,107.05,107.05,106.97,261000,-0.06,43102
03-Jan-18,106.97,106.98,107.01,106.95,296000,-0.01,43103
04-Jan-18,106.91,106.95,106.96,106.88,427000,-0.06,43104
05-Jan-18,106.91,106.92,106.97,106.89,367000,0,43105
08-Jan-18,106.91,106.90,106.93,106.89,137000,0,43108
09-Jan-18,106.91,106.91,106.95,106.89,440000,0,43109
10-Jan-18,106.91,106.90,106.92,106.88,430000,0,43110
11-Jan-18,106.90,106.89,106.92,106.88,387000,-0.01,43111
12-Jan-18,106.84,106.88,106.88,106.80,405000,-0.06,43112
14-Jan-18,106.84,106.84,106.84,106.84,0,0,43114
15-Jan-18,106.83,106.84,106.85,106.82,0,-0.01,43115
16-Jan-18,106.82,106.84,106.86,106.79,381000,-0.01,43116
17-Jan-18,106.76,106.81,106.82,106.75,412320,-0.06,43117
18-Jan-18,106.77,106.76,106.77,106.73,464940,0.01,43118
19-Jan-18,106.74,106.76,106.77,106.73,363530,-0.03,43119
22-Jan-18,106.73,106.73,106.74,106.70,368960,-0.01,43122
23-Jan-18,106.77,106.73,106.79,106.73,326410,0.04,43123
24-Jan-18,106.73,106.79,106.80,106.73,323710,-0.04,43124
25-Jan-18,106.73,106.74,106.77,106.68,425220,0,43125
26-Jan-18,106.66,106.72,106.73,106.63,436570,-0.07,43126
29-Jan-18,106.66,106.66,106.68,106.59,411360,0,43129
30-Jan-18,106.66,106.67,106.70,106.62,405260,0,43130
31-Jan-18,106.62,106.67,106.70,106.58,718980,-0.04,43131
01-Feb-18,106.59,106.61,106.63,106.56,608720,-0.03,43132
02-Feb-18,106.59,106.57,106.63,106.54,704880,0,43133
05-Feb-18,106.73,106.61,106.84,106.59,857650,0.13,43136
06-Feb-18,106.71,106.83,107.01,106.66,824020,-0.02,43137
