Date,Price,Open,High,Low,Vol.,Change %,Date_m
03-01-17,103.20,102.81,103.81,102.62,51700,0.89,42738.00
04-01-17,102.71,103.35,103.42,102.39,36100,-0.47,42739.00
05-01-17,101.53,102.06,102.50,101.30,60200,-1.15,42740.00
06-01-17,102.21,101.54,102.30,101.39,38000,0.67,42741.00
09-01-17,101.91,102.25,102.49,101.84,31000,-0.29,42744.00
10-01-17,102.00,101.85,102.09,101.48,33300,0.09,42745.00
11-01-17,101.75,102.02,102.96,101.24,74500,-0.25,42746.00
12-01-17,101.38,101.72,101.77,100.70,54000,-0.36,42747.00
13-01-17,101.19,101.52,101.68,100.83,38000,-0.19,42748.00
16-01-17,101.19,101.48,101.72,101.31,15900,0,42751.00
17-01-17,100.32,101.56,101.61,100.23,61400,-0.86,42752.00
18-01-17,100.92,100.33,101.33,100.31,39800,0.6,42753.00
19-01-17,101.14,101.36,101.71,100.95,53300,0.22,42754.00
20-01-17,100.69,101.19,101.48,100.67,40500,-0.44,42755.00
23-01-17,100.13,100.75,100.75,99.92,40200,-0.56,42758.00
24-01-17,100.34,99.98,100.39,99.89,29300,0.21,42759.00
25-01-17,100.02,100.24,100.39,99.81,28200,-0.32,42760.00
26-01-17,100.38,99.80,100.73,99.77,35100,0.36,42761.00
27-01-17,100.53,100.52,100.81,100.31,30500,0.15,42762.00
30-01-17,100.41,100.43,101.02,100.14,38500,-0.12,42765.00
31-01-17,99.48,100.39,100.50,99.40,57700,-0.93,42766.00
01-02-17,99.61,99.58,100.06,99.48,42200,0.13,42767.00
02-02-17,99.79,99.56,99.84,99.19,40600,0.18,42768.00
03-02-17,99.84,99.83,100.37,99.52,49500,0.05,42769.00
06-02-17,99.86,99.70,100.22,99.61,27400,0.02,42772.00
07-02-17,100.25,99.96,100.69,99.91,38800,0.39,42773.00
08-02-17,100.26,100.44,100.63,100.03,31500,0.01,42774.00
09-02-17,100.65,100.24,100.67,100.08,33500,0.39,42775.00
10-02-17,100.79,100.69,101.02,100.56,34600,0.14,42776.00
13-02-17,100.95,100.79,101.11,100.57,23800,0.16,42779.00
14-02-17,101.23,100.95,101.39,100.70,38100,0.28,42780.00
15-02-17,101.16,101.31,101.75,100.97,42900,-0.07,42781.00
16-02-17,100.43,100.94,101.05,100.40,41900,-0.72,42782.00
17-02-17,100.95,100.50,100.96,100.44,27200,0.52,42783.00
20-02-17,100.95,100.86,100.99,100.74,9040,0,42786.00
21-02-17,101.36,101.08,101.61,101.08,28800,0.41,42787.00
22-02-17,101.19,101.36,101.72,101.16,38900,-0.17,42788.00
23-02-17,101.05,101.35,101.44,100.86,32800,-0.14,42789.00
24-02-17,101.09,101.04,101.15,100.64,35900,0.04,42790.00
27-02-17,101.13,101.16,101.28,100.68,24600,0.04,42793.00
28-02-17,101.13,101.20,101.38,100.78,31100,0,42794.00
01-03-17,101.78,101.47,101.98,101.22,54800,0.64,42795.00
02-03-17,102.20,101.81,102.27,101.79,30500,0.41,42796.00
03-03-17,101.55,102.08,102.17,101.33,61000,-0.64,42797.00
06-03-17,101.64,101.44,101.74,101.22,38600,0.09,42800.00
07-03-17,101.81,101.74,101.91,101.52,20600,0.17,42801.00
08-03-17,102.08,101.76,102.19,101.70,51000,0.27,42802.00
09-03-17,101.85,102.15,102.25,101.70,31000,-0.23,42803.00
10-03-17,101.25,101.94,101.98,101.18,18200,-0.59,42804.00
13-03-17,101.31,101.28,101.40,101.03,1620,0.06,42807.00
14-03-17,101.57,101.28,101.66,101.22,22500,0.26,42808.00
15-03-17,100.58,101.57,101.59,100.32,47700,-0.97,42809.00
16-03-17,100.19,100.34,100.58,100.05,36500,-0.39,42810.00
17-03-17,100.11,100.06,100.28,99.97,23300,-0.08,42811.00
20-03-17,100.23,100.11,100.27,99.83,19200,0.12,42814.00
21-03-17,99.61,100.17,100.18,99.46,33800,-0.62,42815.00
22-03-17,99.47,99.50,99.72,99.34,30100,-0.14,42816.00
23-03-17,99.56,99.58,99.67,99.44,23500,0.09,42817.00
24-03-17,99.44,99.57,99.81,99.36,22900,-0.12,42818.00
27-03-17,98.97,99.33,99.33,98.67,31700,-0.47,42821.00
28-03-17,99.55,99.06,99.62,98.92,26300,0.59,42822.00
29-03-17,99.84,99.56,99.97,99.50,25900,0.29,42823.00
30-03-17,100.28,99.85,100.47,99.80,28800,0.44,42824.00
31-03-17,100.22,100.34,100.50,100.11,25500,-0.06,42825.00
03-04-17,100.41,100.41,100.56,100.23,19200,0.19,42828.00
04-04-17,100.43,100.34,100.61,100.30,15900,0.02,42829.00
05-04-17,100.44,100.42,100.99,100.31,26500,0.01,42830.00
06-04-17,100.57,100.37,100.67,100.28,18100,0.13,42831.00
07-04-17,101.12,100.64,101.19,100.40,37100,0.55,42832.00
10-04-17,100.95,101.12,101.27,100.87,21800,-0.17,42835.00
11-04-17,100.62,100.90,101.00,100.51,24400,-0.33,42836.00
12-04-17,100.71,100.59,100.76,100.01,22300,0.09,42837.00
13-04-17,100.46,100.03,100.50,99.93,22700,-0.25,42838.00
17-04-17,100.19,100.41,100.47,99.91,14900,-0.27,42842.00
18-04-17,99.40,100.24,100.31,99.36,26500,-0.79,42843.00
19-04-17,99.64,99.45,99.78,99.42,17700,0.24,42844.00
20-04-17,99.69,99.70,99.76,99.29,22300,0.05,42845.00
21-04-17,99.88,99.75,99.94,99.56,23000,0.19,42846.00
24-04-17,98.97,99.18,99.24,98.70,30200,-0.91,42849.00
25-04-17,98.65,98.97,99.10,98.56,26500,-0.32,42850.00
26-04-17,98.92,98.72,99.20,98.61,32900,0.27,42851.00
27-04-17,98.95,98.86,99.21,98.69,40100,0.03,42852.00
28-04-17,98.90,99.07,99.12,98.58,26300,-0.05,42853.00
01-05-17,98.93,98.93,99.07,98.73,17600,0.03,42856.00
02-05-17,98.83,98.93,99.08,98.78,19800,-0.1,42857.00
03-05-17,99.08,98.77,99.27,98.75,27100,0.25,42858.00
04-05-17,98.65,99.23,99.34,98.56,31300,-0.43,42859.00
05-05-17,98.53,98.63,98.89,98.41,24900,-0.12,42860.00
08-05-17,98.94,98.37,99.06,98.36,29500,0.42,42863.00
09-05-17,99.54,99.02,99.56,98.96,29600,0.61,42864.00
10-05-17,99.56,99.34,99.61,99.25,21200,0.02,42865.00
11-05-17,99.50,99.56,99.77,99.38,18300,-0.06,42866.00
12-05-17,99.13,99.53,99.58,99.03,24600,-0.37,42867.00
15-05-17,98.80,99.06,99.14,98.67,18400,-0.33,42870.00
16-05-17,98.00,98.76,98.77,97.97,32800,-0.81,42871.00
17-05-17,97.46,97.99,98.01,97.33,29300,-0.55,42872.00
18-05-17,97.77,97.41,97.97,97.28,46200,0.32,42873.00
19-05-17,97.03,97.72,97.74,96.97,26300,-0.76,42874.00
22-05-17,96.88,97.03,97.33,96.70,24300,-0.15,42877.00
23-05-17,97.26,96.83,97.32,96.70,34000,0.39,42878.00
24-05-17,97.15,97.32,97.38,96.94,31800,-0.11,42879.00
25-05-17,97.18,96.90,97.20,96.81,21200,0.03,42880.00
26-05-17,97.36,97.15,97.47,96.97,24100,0.19,42881.00
29-05-17,97.36,97.32,97.44,97.25,5300,0,42884.00
30-05-17,97.21,97.61,97.70,97.14,27900,-0.15,42885.00
31-05-17,96.85,97.36,97.42,96.80,27200,-0.37,42886.00
01-06-17,97.14,96.95,97.27,96.85,16400,0.3,42887.00
02-06-17,96.67,97.17,97.26,96.58,29200,-0.48,42888.00
05-06-17,96.75,96.67,96.93,96.64,14900,0.08,42891.00
06-06-17,96.59,96.75,96.75,96.47,18600,-0.17,42892.00
07-06-17,96.71,96.56,96.94,96.45,24700,0.12,42893.00
08-06-17,96.90,96.69,97.14,96.56,33900,0.2,42894.00
09-06-17,97.24,97.26,97.47,97.12,29700,0.35,42895.00
12-06-17,97.12,97.23,97.30,97.02,24100,-0.12,42898.00
13-06-17,96.94,97.17,97.26,96.92,21800,-0.19,42899.00
14-06-17,96.92,97.00,97.11,96.31,57200,-0.02,42900.00
15-06-17,97.44,96.91,97.56,96.84,21800,0.54,42901.00
16-06-17,97.15,97.48,97.55,97.09,19100,-0.3,42902.00
19-06-17,97.33,97.11,97.34,97.05,1080,0.19,42905.00
20-06-17,97.41,97.28,97.52,97.14,30200,0.08,42906.00
21-06-17,97.22,97.39,97.47,97.18,14300,-0.2,42907.00
22-06-17,97.30,97.22,97.35,97.11,27500,0.08,42908.00
23-06-17,96.94,97.25,97.30,96.86,14000,-0.37,42909.00
26-06-17,97.12,96.94,97.16,96.81,15400,0.19,42912.00
27-06-17,96.09,97.12,97.16,96.05,33700,-1.06,42913.00
28-06-17,95.74,96.17,96.32,95.67,39800,-0.36,42914.00
29-06-17,95.37,95.77,95.78,95.27,22600,-0.39,42915.00
30-06-17,95.42,95.31,95.56,95.22,20200,0.05,42916.00
03-07-17,95.97,95.41,96.00,95.39,19900,0.58,42919.00
04-07-17,95.97,95.89,96.08,95.81,7550,0,42920.00
05-07-17,96.06,95.91,96.25,95.83,19100,0.09,42921.00
06-07-17,95.58,96.00,96.11,95.56,14200,-0.5,42922.00
07-07-17,95.79,95.58,95.93,95.53,20400,0.22,42923.00
10-07-17,95.78,95.80,95.94,95.69,20000,-0.01,42926.00
11-07-17,95.42,95.83,95.96,95.41,16400,-0.38,42927.00
12-07-17,95.51,95.42,95.75,95.28,20800,0.09,42928.00
13-07-17,95.51,95.53,95.69,95.25,18600,0,42929.00
14-07-17,94.93,95.55,95.61,94.87,23300,-0.61,42930.00
17-07-17,94.90,94.89,95.12,94.80,12200,-0.03,42933.00
18-07-17,94.40,94.95,94.97,94.28,33600,-0.53,42934.00
19-07-17,94.59,94.47,94.69,94.44,11800,0.2,42935.00
20-07-17,94.12,94.56,94.98,93.89,48200,-0.5,42936.00
21-07-17,93.68,94.11,94.17,93.67,15500,-0.47,42937.00
24-07-17,93.80,93.78,93.94,93.65,13300,0.13,42940.00
25-07-17,93.89,93.85,93.96,93.46,23100,0.1,42941.00
26-07-17,93.50,93.95,94.11,93.22,30000,-0.42,42942.00
27-07-17,93.72,93.33,93.95,93.00,33800,0.24,42943.00
28-07-17,93.11,93.67,93.80,93.10,24400,-0.65,42944.00
31-07-17,92.72,93.17,93.39,92.64,29800,-0.42,42947.00
01-08-17,92.90,92.81,92.97,92.64,18700,0.19,42948.00
02-08-17,92.70,92.91,93.03,92.39,20500,-0.22,42949.00
03-08-17,92.71,92.78,92.91,92.56,21500,0.01,42950.00
04-08-17,93.42,92.61,93.64,92.58,31000,0.77,42951.00
07-08-17,93.31,93.38,93.42,93.17,13400,-0.12,42954.00
08-08-17,93.52,93.28,93.77,93.12,20300,0.23,42955.00
09-08-17,93.43,93.47,93.78,93.36,20100,-0.1,42956.00
10-08-17,93.30,93.39,93.70,93.21,17300,-0.14,42957.00
11-08-17,92.96,93.30,93.42,92.83,28500,-0.36,42958.00
14-08-17,93.31,92.98,93.39,92.94,13400,0.38,42961.00
15-08-17,93.76,93.39,94.04,93.34,23000,0.48,42962.00
16-08-17,93.44,93.73,94.06,93.38,35100,-0.34,42963.00
17-08-17,93.53,93.38,94.00,93.21,40400,0.1,42964.00
18-08-17,93.36,93.65,93.69,93.25,23700,-0.18,42965.00
21-08-17,93.01,93.36,93.50,92.92,18500,-0.37,42968.00
22-08-17,93.46,93.03,93.49,92.98,19600,0.48,42969.00
23-08-17,93.07,93.44,93.56,93.04,18700,-0.42,42970.00
24-08-17,93.20,93.09,93.31,93.08,10700,0.14,42971.00
25-08-17,92.68,93.22,93.37,92.34,44500,-0.56,42972.00
28-08-17,92.14,92.35,92.48,92.11,19500,-0.58,42975.00
29-08-17,92.18,92.19,92.41,91.55,51800,0.04,42976.00
30-08-17,92.82,92.30,92.89,92.19,29800,0.69,42977.00
31-08-17,92.63,92.86,93.31,92.56,38200,-0.2,42978.00
01-09-17,92.77,92.60,92.91,92.05,44500,0.15,42979.00
04-09-17,92.77,92.67,92.67,92.41,10700,0,42982.00
05-09-17,92.23,92.61,92.69,92.14,27600,-0.58,42983.00
06-09-17,92.25,92.20,92.33,91.94,28000,0.02,42984.00
07-09-17,91.64,92.18,92.23,91.38,58700,-0.66,42985.00
08-09-17,91.33,91.44,91.49,90.99,36100,-0.34,42986.00
11-09-17,91.85,91.39,91.97,91.39,36400,0.57,42989.00
12-09-17,91.86,91.89,92.06,91.75,31500,0.01,42990.00
13-09-17,92.51,91.88,92.52,91.69,50200,0.71,42991.00
14-09-17,92.11,92.39,92.66,92.03,26500,-0.43,42992.00
15-09-17,91.86,92.00,92.16,91.58,10800,-0.27,42993.00
18-09-17,91.85,91.86,92.02,91.80,1390,-0.01,42996.00
19-09-17,91.56,91.77,91.84,91.52,24200,-0.32,42997.00
20-09-17,92.30,91.62,92.50,91.22,37300,0.81,42998.00
21-09-17,92.05,92.40,92.46,91.89,22400,-0.27,42999.00
22-09-17,91.97,91.94,92.00,91.58,24000,-0.09,43000.00
25-09-17,92.44,92.12,92.53,92.00,26500,0.51,43003.00
26-09-17,92.78,92.42,93.11,92.34,32700,0.37,43004.00
27-09-17,93.17,92.89,93.42,92.81,32500,0.42,43005.00
28-09-17,92.93,93.26,93.50,92.92,24700,-0.26,43006.00
29-09-17,92.88,93.00,93.11,92.81,21900,-0.05,43007.00
