Date,Price,Open,High,Low,Vol.,Change %,Date_m
01-Jan-17,0.00635,0.00651,0.0066,0.00626,189.01K,-2.53,42736
02-Jan-17,0.00631,0.00635,0.00642,0.00621,554.90K,-0.54,42737
03-Jan-17,0.00641,0.00631,0.00657,0.00622,1.82M,1.57,42738
04-Jan-17,0.00641,0.00641,0.00684,0.00637,888.03K,0,42739
05-Jan-17,0.00628,0.00641,0.00689,0.00565,9.61M,-2.09,42740
06-Jan-17,0.00622,0.00628,0.0065,0.00599,3.33M,-0.86,42741
07-Jan-17,0.00636,0.00622,0.00646,0.00605,1.06M,2.27,42742
08-Jan-17,0.00625,0.00636,0.00646,0.00624,735.49K,-1.76,42743
09-Jan-17,0.00618,0.00625,0.00634,0.00612,670.28K,-1.2,42744
10-Jan-17,0.00681,0.00618,0.00714,0.00618,4.63M,10.35,42745
11-Jan-17,0.00654,0.00681,0.0069,0.00625,5.01M,-3.99,42746
12-Jan-17,0.00636,0.00654,0.00709,0.0063,3.44M,-2.81,42747
13-Jan-17,0.00667,0.00636,0.00671,0.0063,1.07M,4.87,42748
14-Jan-17,0.00679,0.00667,0.007,0.00659,1.08M,1.89,42749
15-Jan-17,0.00681,0.00679,0.00691,0.0067,631.27K,0.22,42750
16-Jan-17,0.00678,0.00681,0.00689,0.0067,419.28K,-0.44,42751
17-Jan-17,0.0067,0.00678,0.00689,0.00641,2.14M,-1.14,42752
18-Jan-17,0.00673,0.0067,0.0068,0.00648,3.21M,0.37,42753
19-Jan-17,0.00669,0.00673,0.00685,0.0066,1.17M,-0.58,42754
20-Jan-17,0.00659,0.00669,0.0068,0.00659,2.30M,-1.51,42755
21-Jan-17,0.00677,0.00659,0.00689,0.00659,1.32M,2.69,42756
22-Jan-17,0.00675,0.00677,0.00679,0.00667,420.96K,-0.21,42757
23-Jan-17,0.00666,0.00675,0.00676,0.0066,153.91K,-1.33,42758
24-Jan-17,0.00645,0.00666,0.00669,0.00645,532.21K,-3.17,42759
